STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
SOUTH DAKOTA,1999,October,Heavy Snow,0,0,0,0,
SOUTH DAKOTA,1999,October,Heavy Snow,0,0,0,0,
MAINE,1999,September,Heavy Rain,0,0,0,0,
MAINE,1999,September,Heavy Rain,0,0,0,0,
TEXAS,1999,September,Funnel Cloud,0,0,0,0,0K
TEXAS,1999,September,Waterspout,0,0,0,0,0K
TEXAS,1999,September,Hail,0,0,0,0,15K
MARYLAND,1999,September,Flash Flood,0,0,0,0,
MASSACHUSETTS,1999,September,Heavy Rain,0,0,0,0,
WEST VIRGINIA,1999,September,Drought,0,0,0,0,
SOUTH DAKOTA,1999,October,Heavy Snow,0,0,0,0,
SOUTH DAKOTA,1999,October,Heavy Snow,0,0,0,0,
SOUTH DAKOTA,1999,October,Heavy Snow,0,0,0,0,
NEW HAMPSHIRE,1999,September,Heavy Rain,0,0,0,0,
MAINE,1999,September,Heavy Rain,0,0,0,0,
MASSACHUSETTS,1999,September,Heavy Rain,0,0,0,0,
WEST VIRGINIA,1999,September,Drought,0,0,0,0,
MASSACHUSETTS,1999,September,Heavy Rain,0,0,0,0,
TEXAS,1999,September,Thunderstorm Wind,0,0,0,0,15K
MAINE,1999,September,Heavy Rain,0,0,0,0,
TEXAS,1999,September,Funnel Cloud,0,0,0,0,0K
NORTH CAROLINA,1999,September,High Wind,0,0,0,0,
NORTH CAROLINA,1999,September,High Wind,0,0,0,0,
NORTH CAROLINA,1999,September,High Wind,0,0,0,0,
NORTH CAROLINA,1999,September,Hurricane (Typhoon),0,0,0,0,22M
NORTH CAROLINA,1999,September,Hurricane (Typhoon),0,0,0,0,37M
NORTH CAROLINA,1999,September,Hurricane (Typhoon),0,0,0,0,50M
NEW HAMPSHIRE,1999,September,Heavy Rain,0,0,0,0,
NEW HAMPSHIRE,1999,September,Heavy Rain,0,0,0,0,
MAINE,1999,September,Heavy Rain,0,0,0,0,
MARYLAND,1999,September,Flash Flood,0,0,0,0,
INDIANA,1999,June,Hail,0,0,0,0,
INDIANA,1999,June,Flood,0,0,0,0,
COLORADO,1999,April,High Wind,0,0,0,0,
TEXAS,1999,June,Flash Flood,0,0,0,0,
TEXAS,1999,June,Hail,0,0,0,0,
